Country Name,Year,Trade_Tariffs,External_Finance
Côte d'Ivoire,2001,0.7988895,0.375
Kenya,2001,0.68,0.75
Korea,2001,0.845,0.625
Poland,2001,0.9336666,0.5
Spain,2001,0.9336666,1.0
Egypt,2001,0.5816666,0.875
Philippines,2001,0.8845,0.75
United Kingdom,2001,0.9336666,1.0
United States,2001,0.9408333,1.0
Mexico,2001,0.6985,0.625
Tanzania,2001,0.7023333,0.375
Cameroon,2001,0.6891667,0.625
Australia,2001,0.9111667,0.75
Japan,2001,0.9533333,1.0
Peru,2001,0.8023334,1.0
Chile,2001,0.8666667,1.0
Sri Lanka,2001,0.8443334,0.5
Ecuador,2001,0.7995,1.0
Ghana,2001,0.7913333,0.375
Greece,2001,0.9336666,1.0
South Africa,2001,0.8458334,0.5
Germany,2001,0.9336666,1.0
Denmark,2001,0.9336666,1.0
Portugal,2001,0.9336666,0.875
Algeria,2001,0.6321667,0.375
Canada,2001,0.912,1.0
China,2001,0.7435,0.125
El Salvador,2001,0.8755,0.875
New Zealand,2001,0.9421667,1.0
Guatemala,2001,0.8806667,1.0
France,2001,0.9336666,1.0
Hong Kong SAR,2001,1.0,1.0
Paraguay,2001,0.7735,1.0
Pakistan,2001,0.6635,0.375
Jordan,2001,0.7265,0.875
Austria,2001,0.9336666,0.875
Nigeria,2001,0.5961667,0.5
Norway,2001,0.9736667,1.0
Belgium,2001,0.9336666,1.0
Bolivia,2001,0.8455,1.0
India,2001,0.4828333,0.5
Bangladesh,2002,0.6498333,0.25
Switzerland,2002,1.0,1.0
Uruguay,2002,0.7558333,1.0
Venezuela,2002,0.773,0.625
Morocco,2002,0.5198333,0.375
Nepal,2002,0.7571667,0.375
Nicaragua,2002,0.9281667,1.0
Malaysia,2002,0.8748333,0.375
Romania,2002,0.96,0.625
Senegal,2002,0.7695,0.625
Singapore,2002,1.0,1.0
Netherlands,2002,0.96,1.0
Indonesia,2002,0.8953333,0.5
Ireland,2002,0.96,1.0
Finland,2002,0.96,1.0
Sweden,2002,0.96,0.875
Hungary,2002,0.96,1.0
Brazil,2002,0.7545,0.5
Burkina Faso,2002,0.7775,0.25
Thailand,2002,0.7926359,0.375
Tunisia,2002,0.5006667,0.5
Colombia,2002,0.7866667,0.5
Costa Rica,2002,0.8828333,1.0
Turkey,2002,0.9521667,0.625
Israel,2002,0.9083334,1.0
Italy,2002,0.96,1.0
Jamaica,2002,0.8421667,0.75
Argentina,2002,0.7536667,0.25
Côte d'Ivoire,2002,0.8006141,0.375
Kenya,2002,0.746,0.75
Korea,2002,0.8411667,0.625
Poland,2002,0.96,0.75
Spain,2002,0.96,1.0
Egypt,2002,0.6661667,0.875
Philippines,2002,0.9118333,0.75
United Kingdom,2002,0.96,1.0
United States,2002,0.9386666,1.0
Mexico,2002,0.7451667,0.625
Tanzania,2002,0.7023333,0.375
Cameroon,2002,0.6913334,0.625
Australia,2002,0.9151667,0.75
Japan,2002,0.9535,1.0
Peru,2002,0.8281667,1.0
Chile,2002,0.8835,1.0
Sri Lanka,2002,0.8443334,0.5
Ecuador,2002,0.7996666,1.0
Ghana,2002,0.7913333,0.375
Greece,2002,0.96,1.0
South Africa,2002,0.8951667,0.5
Germany,2002,0.96,1.0
Denmark,2002,0.96,1.0
Portugal,2002,0.96,0.875
Algeria,2002,0.6831667,0.375
Canada,2002,0.9185,1.0
China,2002,0.8031667,0.125
El Salvador,2002,0.904,0.875
New Zealand,2002,0.9348333,1.0
Guatemala,2002,0.8848333,1.0
France,2002,0.96,1.0
Hong Kong SAR,2002,1.0,1.0
Paraguay,2002,0.7765,1.0
Pakistan,2002,0.7131667,0.375
Jordan,2002,0.723,0.875
Austria,2002,0.96,0.875
Nigeria,2002,0.5805,0.5
Norway,2002,0.9876667,1.0
Belgium,2002,0.96,1.0
Bolivia,2002,0.8355,1.0
India,2002,0.5303333,0.5
Bangladesh,2003,0.674,0.25
Switzerland,2003,1.0,1.0
Uruguay,2003,0.7558333,1.0
Venezuela,2003,0.7776667,0.5
Morocco,2003,0.5251667,0.375
Nepal,2003,0.7535,0.375
Nicaragua,2003,0.9235,1.0
Malaysia,2003,0.877,0.375
Romania,2003,0.9593334,0.75
Senegal,2003,0.768,0.625
Singapore,2003,1.0,1.0
Netherlands,2003,0.9593334,1.0
Indonesia,2003,0.9046667,0.5
Ireland,2003,0.9593334,1.0
Finland,2003,0.9593334,1.0
Sweden,2003,0.9593334,0.875
Hungary,2003,0.9593334,1.0
Brazil,2003,0.7601666,0.5
Burkina Faso,2003,0.774,0.25
Thailand,2003,0.7726666,0.375
Tunisia,2003,0.5745,0.5
Colombia,2003,0.7875,0.75
Costa Rica,2003,0.897,1.0
Turkey,2003,0.9561667,0.875
Israel,2003,0.9093333,1.0
Italy,2003,0.9593334,1.0
Jamaica,2003,0.8406667,0.75
Argentina,2003,0.7545,0.375
Côte d'Ivoire,2003,0.7998183,0.375
Kenya,2003,0.746,0.75
Korea,2003,0.8513333,0.625
Poland,2003,0.9593334,0.75
Spain,2003,0.9593334,1.0
Egypt,2003,0.6098334,0.875
Philippines,2003,0.9253333,0.75
United Kingdom,2003,0.9593334,1.0
United States,2003,0.9446667,1.0
Mexico,2003,0.6943333,0.625
Tanzania,2003,0.7461666,0.375
Cameroon,2003,0.6801667,0.625
Australia,2003,0.9148333,0.75
Japan,2003,0.955,1.0
Peru,2003,0.8386667,1.0
Chile,2003,0.9016666,1.0
Sri Lanka,2003,0.8466667,0.5
Ecuador,2003,0.8025,1.0
Ghana,2003,0.7913333,0.375
Greece,2003,0.9593334,1.0
South Africa,2003,0.8793333,0.5
Germany,2003,0.9593334,1.0
Denmark,2003,0.9593334,1.0
Portugal,2003,0.9593334,0.875
Algeria,2003,0.694,0.375
Canada,2003,0.9258333,1.0
China,2003,0.8218333,0.125
El Salvador,2003,0.8798333,0.875
New Zealand,2003,0.9351667,1.0
Guatemala,2003,0.8931667,1.0
France,2003,0.9593334,1.0
Hong Kong SAR,2003,1.0,1.0
Paraguay,2003,0.776,1.0
Pakistan,2003,0.7193334,0.375
Jordan,2003,0.7591667,0.875
Austria,2003,0.9593334,0.875
Nigeria,2003,0.5898333,0.5
Norway,2003,0.9915,1.0
Belgium,2003,0.9593334,1.0
Bolivia,2003,0.8486667,1.0
India,2003,0.5771667,0.5
Bangladesh,2004,0.6956667,0.25
Switzerland,2004,1.0,1.0
Uruguay,2004,0.8081667,1.0
Venezuela,2004,0.7916667,0.5
Morocco,2004,0.5251667,0.375
Nepal,2004,0.7541667,0.375
Nicaragua,2004,0.9121667,1.0
Malaysia,2004,0.8728333,0.375
Romania,2004,0.959,0.75
Senegal,2004,0.7678334,0.625
Singapore,2004,1.0,1.0
Netherlands,2004,0.959,1.0
Indonesia,2004,0.9033333,0.5
Ireland,2004,0.959,1.0
Finland,2004,0.959,1.0
Sweden,2004,0.959,0.875
Hungary,2004,0.959,1.0
Brazil,2004,0.7803333,0.5
Burkina Faso,2004,0.774,0.25
Thailand,2004,0.8161667,0.375
Tunisia,2004,0.568,0.5
Colombia,2004,0.8043333,0.5
Costa Rica,2004,0.8943333,1.0
Turkey,2004,0.9466667,0.875
Israel,2004,0.9601667,1.0
Italy,2004,0.959,1.0
Jamaica,2004,0.8418334,0.75
Argentina,2004,0.8025,0.375
Côte d'Ivoire,2004,0.7994339,0.375
Kenya,2004,0.7276667,0.75
Korea,2004,0.849,0.625
Poland,2004,0.959,0.75
Spain,2004,0.959,1.0
Egypt,2004,0.7078333,0.875
Philippines,2004,0.914,0.75
United Kingdom,2004,0.959,1.0
United States,2004,0.9478334,1.0
Mexico,2004,0.8298333,0.625
Tanzania,2004,0.7461666,0.375
Cameroon,2004,0.6801667,0.5
Australia,2004,0.9136667,0.75
Japan,2004,0.9538333,1.0
Peru,2004,0.8373333,1.0
Chile,2004,0.9186667,1.0
Sri Lanka,2004,0.8286667,0.5
Ecuador,2004,0.8066667,1.0
Ghana,2004,0.7913333,0.375
Greece,2004,0.959,1.0
South Africa,2004,0.8448333,0.5
Germany,2004,0.959,1.0
Denmark,2004,0.959,1.0
Portugal,2004,0.959,0.875
Algeria,2004,0.694,0.375
Canada,2004,0.9271666,1.0
China,2004,0.8365,0.125
El Salvador,2004,0.9001667,0.875
New Zealand,2004,0.9365,1.0
Guatemala,2004,0.9133334,1.0
France,2004,0.959,1.0
Hong Kong SAR,2004,1.0,1.0
Paraguay,2004,0.8383333,1.0
Pakistan,2004,0.7305,0.375
Jordan,2004,0.7636667,0.875
Austria,2004,0.959,0.875
Nigeria,2004,0.5898333,0.5
Norway,2004,0.991,1.0
Belgium,2004,0.959,1.0
Bolivia,2004,0.8706667,1.0
India,2004,0.5268334,0.5
Bangladesh,2005,0.7438334,0.125
Switzerland,2005,1.0,1.0
Uruguay,2005,0.8355,1.0
Venezuela,2005,0.789,0.5
Morocco,2005,0.6795,0.375
Nepal,2005,0.7553333,0.375
Nicaragua,2005,0.888,1.0
Malaysia,2005,0.8741667,0.375
Romania,2005,0.9625,0.75
Senegal,2005,0.7671667,0.625
Singapore,2005,1.0,1.0
Netherlands,2005,0.9625,1.0
Indonesia,2005,0.9038333,0.5
Ireland,2005,0.9625,1.0
Finland,2005,0.9625,1.0
Sweden,2005,0.9625,0.875
Hungary,2005,0.9625,1.0
Brazil,2005,0.7951667,0.625
Burkina Faso,2005,0.7758333,0.25
Thailand,2005,0.8246667,0.375
Tunisia,2005,0.7786667,0.5
Colombia,2005,0.8015,0.5
Costa Rica,2005,0.8836667,1.0
Turkey,2005,0.9596667,0.75
Israel,2005,0.9615,1.0
Italy,2005,0.9625,1.0
Jamaica,2005,0.8418334,0.75
Argentina,2005,0.8233333,0.375
Côte d'Ivoire,2005,0.8002946,0.375
Kenya,2005,0.793,0.75
Korea,2005,0.8571666,0.625
Poland,2005,0.9625,0.75
Spain,2005,0.9625,1.0
Egypt,2005,0.7628334,1.0
Philippines,2005,0.9143333,0.75
United Kingdom,2005,0.9625,1.0
United States,2005,0.9488333,1.0
Mexico,2005,0.8466667,0.625
Tanzania,2005,0.785,0.375
Cameroon,2005,0.6806667,0.5
Australia,2005,0.929,0.75
Japan,2005,0.9543333,1.0
Peru,2005,0.8468333,1.0
Chile,2005,0.919,1.0
Sri Lanka,2005,0.8101667,0.5
Ecuador,2005,0.803,1.0
Ghana,2005,0.7913333,0.375
Greece,2005,0.9625,1.0
South Africa,2005,0.8543333,0.5
Germany,2005,0.9625,1.0
Denmark,2005,0.9625,1.0
Portugal,2005,0.9625,1.0
Algeria,2005,0.7278333,0.375
Canada,2005,0.9268333,1.0
China,2005,0.846,0.125
El Salvador,2005,0.8886667,0.875
New Zealand,2005,0.9346667,1.0
Guatemala,2005,0.8885,1.0
France,2005,0.9625,1.0
Hong Kong SAR,2005,1.0,1.0
Paraguay,2005,0.8598334,1.0
Pakistan,2005,0.7565,0.375
Jordan,2005,0.7955,0.875
Austria,2005,0.9625,0.875
Nigeria,2005,0.8241667,0.5
Norway,2005,0.992,0.875
Belgium,2005,0.9625,1.0
Bolivia,2005,0.8801666,1.0
India,2005,0.7325,0.5
Bangladesh,2006,0.7465,0.125
Switzerland,2006,1.0,1.0
Uruguay,2006,0.8393334,1.0
Venezuela,2006,0.7946666,0.5
Morocco,2006,0.7378333,0.375
Nepal,2006,0.7848333,0.375
Nicaragua,2006,0.9045,1.0
Malaysia,2006,0.8946667,0.375
Romania,2006,0.9601667,1.0
Senegal,2006,0.7751667,0.625
Singapore,2006,1.0,1.0
Netherlands,2006,0.9601667,1.0
Indonesia,2006,0.9031667,0.625
Ireland,2006,0.9601667,1.0
Finland,2006,0.9601667,1.0
Sweden,2006,0.9601667,0.875
Hungary,2006,0.9601667,1.0
Brazil,2006,0.7983333,0.625
Burkina Faso,2006,0.7913333,0.25
Thailand,2006,0.8196667,0.375
Tunisia,2006,0.6168333,0.5
Colombia,2006,0.8128334,0.5
Costa Rica,2006,0.8976667,1.0
Turkey,2006,0.9616666,0.875
Israel,2006,0.9243333,1.0
Italy,2006,0.9601667,1.0
Jamaica,2006,0.8475,0.75
Argentina,2006,0.823,0.25
Côte d'Ivoire,2006,0.8002351,0.375
Kenya,2006,0.7946666,0.75
Korea,2006,0.8478333,0.75
Poland,2006,0.9601667,0.75
Spain,2006,0.9601667,1.0
Egypt,2006,0.7183334,1.0
Philippines,2006,0.9151667,0.75
United Kingdom,2006,0.9601667,1.0
United States,2006,0.9503334,1.0
Mexico,2006,0.8665,0.625
Tanzania,2006,0.7911667,0.375
Cameroon,2006,0.6798334,0.5
Australia,2006,0.9368333,0.75
Japan,2006,0.9536667,1.0
Peru,2006,0.8573333,1.0
Chile,2006,0.9621667,1.0
Sri Lanka,2006,0.8168333,0.5
Ecuador,2006,0.8363333,1.0
Ghana,2006,0.7913333,0.75
Greece,2006,0.9601667,1.0
South Africa,2006,0.8611667,0.5
Germany,2006,0.9601667,1.0
Denmark,2006,0.9601667,1.0
Portugal,2006,0.9601667,1.0
Algeria,2006,0.7328333,0.375
Canada,2006,0.9293333,1.0
China,2006,0.852,0.25
El Salvador,2006,0.916,0.875
New Zealand,2006,0.9385,1.0
Guatemala,2006,0.8908333,1.0
France,2006,0.9601667,1.0
Hong Kong SAR,2006,1.0,1.0
Paraguay,2006,0.8805,1.0
Pakistan,2006,0.7535,0.375
Jordan,2006,0.819,1.0
Austria,2006,0.9601667,0.875
Nigeria,2006,0.8235,0.5
Norway,2006,0.992,0.875
Belgium,2006,0.9601667,1.0
Bolivia,2006,0.892,1.0
India,2006,0.7715,0.5
Bangladesh,2007,0.762,0.125
Switzerland,2007,1.0,1.0
Uruguay,2007,0.8413333,1.0
Venezuela,2007,0.8028333,0.5
Morocco,2007,0.7783333,0.375
Nepal,2007,0.7856666,0.375
Nicaragua,2007,0.9101667,1.0
Malaysia,2007,0.9026667,0.375
Romania,2007,0.9608333,1.0
Senegal,2007,0.7765,0.625
Singapore,2007,1.0,1.0
Netherlands,2007,0.9608333,1.0
Indonesia,2007,0.9073333,0.625
Ireland,2007,0.9608333,1.0
Finland,2007,0.9608333,1.0
Sweden,2007,0.9608333,0.875
Hungary,2007,0.9608333,1.0
Brazil,2007,0.7983333,0.625
Burkina Faso,2007,0.7936667,0.25
Thailand,2007,0.8286667,0.375
Tunisia,2007,0.63366,0.5
Colombia,2007,0.82,0.375
Costa Rica,2007,0.8993334,1.0
Turkey,2007,0.9585,0.875
Israel,2007,0.9641666,1.0
Italy,2007,0.9608333,1.0
Jamaica,2007,0.8446667,0.75
Argentina,2007,0.82,0.25
Côte d'Ivoire,2007,0.7991259,0.375
Kenya,2007,0.7978333,0.75
Korea,2007,0.8618333,0.75
Poland,2007,0.9608333,0.75
Spain,2007,0.9608333,1.0
Egypt,2007,0.7566667,1.0
Philippines,2007,0.9161667,0.75
United Kingdom,2007,0.9608333,1.0
United States,2007,0.9528334,1.0
Mexico,2007,0.8938333,0.625
Tanzania,2007,0.7911667,0.375
Cameroon,2007,0.6976667,0.5
Australia,2007,0.9358333,0.75
Japan,2007,0.954,1.0
Peru,2007,0.8586667,1.0
Chile,2007,0.9501666,1.0
Sri Lanka,2007,0.8225,0.5
Ecuador,2007,0.8328333,1.0
Ghana,2007,0.7828333,0.75
Greece,2007,0.9608333,1.0
South Africa,2007,0.867,0.5
Germany,2007,0.9608333,1.0
Denmark,2007,0.9608333,1.0
Portugal,2007,0.9608333,1.0
Algeria,2007,0.7288333,0.375
Canada,2007,0.9298334,1.0
China,2007,0.8535,0.25
El Salvador,2007,0.9158334,0.875
New Zealand,2007,0.938,1.0
Guatemala,2007,0.9106666,1.0
France,2007,0.9608333,1.0
Hong Kong SAR,2007,1.0,1.0
Paraguay,2007,0.8666667,1.0
Pakistan,2007,0.7516667,0.375
Jordan,2007,0.8216667,1.0
Austria,2007,0.9608333,0.875
Nigeria,2007,0.8235,0.5
Norway,2007,0.9895,0.875
Belgium,2007,0.9608333,1.0
Bolivia,2007,0.8965,1.0
India,2007,0.7651666,0.5
Bangladesh,2008,0.7696667,0.125
Switzerland,2008,1.0,1.0
Uruguay,2008,0.84,1.0
Venezuela,2008,0.796,0.5
Morocco,2008,0.8018333,0.375
Nepal,2008,0.7835,0.375
Nicaragua,2008,0.907,1.0
Malaysia,2008,0.9088333,0.375
Romania,2008,0.9625,1.0
Senegal,2008,0.7765,0.625
Singapore,2008,1.0,1.0
Netherlands,2008,0.9625,1.0
Indonesia,2008,0.886,0.625
Ireland,2008,0.9625,1.0
Finland,2008,0.9625,1.0
Sweden,2008,0.9625,1.0
Hungary,2008,0.9625,1.0
Brazil,2008,0.782,0.625
Burkina Faso,2008,0.7943333,0.25
Thailand,2008,0.824,0.5
Tunisia,2008,0.6368333,0.5
Colombia,2008,0.8203334,0.5
Costa Rica,2008,0.9016666,1.0
Turkey,2008,0.9585,0.875
Israel,2008,0.9618334,1.0
Italy,2008,0.9625,1.0
Jamaica,2008,0.8446667,0.75
Argentina,2008,0.8251666,0.25
Côte d'Ivoire,2008,0.8027672,0.375
Kenya,2008,0.7985,0.75
Korea,2008,0.8496667,0.875
Poland,2008,0.9625,0.75
Spain,2008,0.9625,1.0
Egypt,2008,0.7916667,1.0
Philippines,2008,0.9186667,0.75
United Kingdom,2008,0.9625,1.0
United States,2008,0.9506667,1.0
Mexico,2008,0.8963333,0.625
Tanzania,2008,0.7825,0.375
Cameroon,2008,0.699,0.5
Australia,2008,0.9355,0.875
Japan,2008,0.9558333,1.0
Peru,2008,0.9218333,1.0
Chile,2008,0.9533333,1.0
Sri Lanka,2008,0.8295,0.5
Ecuador,2008,0.8496667,1.0
Ghana,2008,0.7838333,0.75
Greece,2008,0.9625,1.0
South Africa,2008,0.8748333,0.5
Germany,2008,0.9625,1.0
Denmark,2008,0.9625,1.0
Portugal,2008,0.9625,1.0
Algeria,2008,0.7303333,0.375
Canada,2008,0.9295,1.0
China,2008,0.8571666,0.375
El Salvador,2008,0.9363334,0.875
New Zealand,2008,0.9531667,1.0
Guatemala,2008,0.9258333,1.0
France,2008,0.9625,1.0
Hong Kong SAR,2008,1.0,1.0
Paraguay,2008,0.859,1.0
Pakistan,2008,0.766,0.25
Jordan,2008,0.8233333,1.0
Austria,2008,0.9625,0.875
Nigeria,2008,0.8196667,0.5
Norway,2008,0.9901667,0.875
Belgium,2008,0.9625,1.0
Bolivia,2008,0.8963333,1.0
India,2008,0.8426667,0.5
Bangladesh,2009,0.7651666,0.25
Switzerland,2009,1.0,1.0
Uruguay,2009,0.8405,1.0
Venezuela,2009,0.7963333,0.25
Morocco,2009,0.8473333,0.375
Nepal,2009,0.794,0.375
Nicaragua,2009,0.9281667,1.0
Malaysia,2009,0.912,0.5
Romania,2009,0.9641666,1.0
Senegal,2009,0.7765,0.625
Singapore,2009,1.0,1.0
Netherlands,2009,0.9641666,1.0
Indonesia,2009,0.9173333,0.625
Ireland,2009,0.9641666,1.0
Finland,2009,0.9641666,1.0
Sweden,2009,0.9641666,1.0
Hungary,2009,0.9641666,1.0
Brazil,2009,0.778,0.625
Burkina Faso,2009,0.7936667,0.25
Thailand,2009,0.8203334,0.5
Tunisia,2009,0.64,0.5
Colombia,2009,0.8218333,0.5
Costa Rica,2009,0.9243333,1.0
Turkey,2009,0.9606667,0.875
Israel,2009,0.9088333,1.0
Italy,2009,0.9641666,1.0
Jamaica,2009,0.8446667,0.75
Argentina,2009,0.8093333,0.25
Côte d'Ivoire,2009,0.8020605,0.375
Kenya,2009,0.7971666,0.75
Korea,2009,0.8391667,0.875
Poland,2009,0.9641666,0.75
Spain,2009,0.9641666,1.0
Egypt,2009,0.7975,1.0
Philippines,2009,0.9183334,0.75
United Kingdom,2009,0.9641666,1.0
United States,2009,0.9521667,1.0
Mexico,2009,0.9125,0.625
Tanzania,2009,0.7848333,0.375
Cameroon,2009,0.6958333,0.5
Australia,2009,0.9333333,0.875
Japan,2009,0.9571667,1.0
Peru,2009,0.9243333,1.0
Chile,2009,0.9538333,1.0
Sri Lanka,2009,0.8261667,0.5
Ecuador,2009,0.8668333,1.0
Ghana,2009,0.784,0.75
Greece,2009,0.9641666,1.0
South Africa,2009,0.8738334,0.75
Germany,2009,0.9641666,1.0
Denmark,2009,0.9641666,1.0
Portugal,2009,0.9641666,1.0
Algeria,2009,0.7628334,0.375
Canada,2009,0.9305,1.0
China,2009,0.8655,0.5
El Salvador,2009,0.9378333,0.875
New Zealand,2009,0.9573333,1.0
Guatemala,2009,0.9165,1.0
France,2009,0.9641666,1.0
Hong Kong SAR,2009,1.0,1.0
Paraguay,2009,0.8675,1.0
Pakistan,2009,0.7548333,0.25
Jordan,2009,0.8376667,1.0
Austria,2009,0.9641666,0.875
Nigeria,2009,0.8343334,0.5
Norway,2009,0.9916667,0.875
Belgium,2009,0.9641666,1.0
Bolivia,2009,0.875,0.875
India,2009,0.8376667,0.5
